customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5522-JBWMO,Male,0,No,Yes,1,Yes,DSL,Month-to-month,No,Electronic check,44,44,No
3951-NJCVI,Female,1,Yes,No,42,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.05,3944.5,No
2977-CEBSX,Female,0,No,No,66,Yes,DSL,Two year,Yes,Credit card (automatic),90.05,5965.95,No
0177-PXBAT,Male,1,Yes,No,33,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,No
9442-JTWDL,Female,0,No,No,11,Yes,No,One year,No,Credit card (automatic),20.05,237.7,No
7606-BPHHN,Male,0,No,No,72,Yes,No,Two year,Yes,Credit card (automatic),19.8,1468.75,No
5233-AOZUF,Female,0,Yes,No,29,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.95,2149.05,No
5973-EJGDP,Male,0,No,No,51,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.35,4473,No
7916-VCCPB,Female,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),73.25,1195.75,No
4686-GEFRM,Male,0,Yes,No,70,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),98.7,6858.9,No
5605-IYGFG,Female,0,No,No,7,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),69.85,515.45,No
8111-BKVDS,Female,0,No,No,10,No,DSL,Month-to-month,No,Bank transfer (automatic),40.7,449.3,No
2055-SIFSS,Female,1,Yes,No,55,Yes,DSL,Month-to-month,No,Bank transfer (automatic),51.65,2838.55,No
2957-LOLHO,Male,0,No,No,12,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes
4980-URKXC,Male,0,Yes,No,36,Yes,No,One year,No,Bank transfer (automatic),20.85,720.05,No
5886-VLQVU,Male,0,Yes,No,35,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),89.85,3161.2,No
2937-FTHUR,Female,0,No,Yes,18,Yes,DSL,Month-to-month,No,Electronic check,64.8,1166.7,No
0256-LTHVJ,Female,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes
5149-CUZUJ,Male,0,Yes,Yes,28,Yes,Fiber optic,One year,No,Bank transfer (automatic),92.9,2768.35,No
0942-KOWSM,Female,0,Yes,Yes,30,Yes,DSL,Two year,No,Bank transfer (automatic),80.8,2369.3,No
4237-CLSMM,Male,0,Yes,No,2,Yes,No,Month-to-month,No,Mailed check,20,38,No
6614-VBEGU,Female,0,Yes,No,24,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),69.45,1614.05,No
8896-RAZCR,Female,0,No,Yes,44,Yes,No,Two year,No,Mailed check,19.9,868.1,No
3583-EKAPL,Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Electronic check,55,55,Yes
1304-BCCFO,Male,0,Yes,No,9,Yes,DSL,Month-to-month,Yes,Mailed check,70.05,564.4,No
9399-APLBT,Female,0,Yes,Yes,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.7,74.7,Yes
3780-DDGSE,Male,1,Yes,Yes,35,Yes,DSL,Month-to-month,Yes,Electronic check,76.05,2747.2,No
4431-EDMIQ,Female,0,Yes,Yes,7,Yes,DSL,Month-to-month,Yes,Electronic check,75.7,554.05,No
3649-JPUGY,Male,0,No,No,72,Yes,DSL,Two year,Yes,Bank transfer (automatic),88.6,6201.95,No
6579-JPICP,Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.4,20.4,No
4134-BSXLX,Male,0,Yes,No,28,Yes,DSL,Month-to-month,No,Mailed check,60.9,1785.65,No
0505-SPOOW,Female,0,Yes,No,70,Yes,No,Two year,No,Bank transfer (automatic),19.8,1397.65,No
6235-VDHOM,Female,1,No,No,5,No,DSL,Month-to-month,No,Electronic check,28.45,131.05,Yes
7783-YKGDV,Female,0,No,No,12,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,Yes
4513-CXYIX,Female,1,Yes,No,71,Yes,Fiber optic,Two year,Yes,Credit card (automatic),80.7,5676,No
3957-HHLMR,Female,0,Yes,Yes,70,Yes,DSL,One year,No,Bank transfer (automatic),65.2,4543.15,No
5609-CEBID,Female,1,No,No,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.1,1782.4,Yes
4636-QRJKY,Female,0,Yes,Yes,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.5,502.85,Yes
8535-SFUTN,Male,0,No,No,61,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.45,6300.15,No
0913-XWSCN,Male,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,No
0750-EBAIU,Male,0,No,No,52,Yes,Fiber optic,One year,No,Electronic check,91.25,4738.3,No
4234-XTNEA,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.95,174.45,No
2866-IKBTM,Female,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,19.55,19.55,No
2817-NTQDO,Male,0,No,No,13,No,DSL,Month-to-month,Yes,Credit card (automatic),45.55,597,Yes
2560-PPCHE,Female,0,No,No,65,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),105.05,6744.25,No
1352-HNSAW,Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),115.6,8220.4,No
5301-GAUUY,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15,Yes
6103-LIANB,Male,0,Yes,Yes,59,Yes,Fiber optic,Two year,Yes,Credit card (automatic),99.5,5861.75,No
5781-RFZRP,Male,0,Yes,No,71,Yes,DSL,Two year,No,Credit card (automatic),73.5,5357.75,No
7293-LSCDV,Female,0,Yes,Yes,60,Yes,No,Two year,Yes,Credit card (automatic),19.25,1103.25,No
4710-FDUIZ,Male,0,Yes,No,56,Yes,Fiber optic,One year,No,Credit card (automatic),100.3,5614.45,Yes
9548-LIGTA,Male,0,Yes,No,61,Yes,DSL,Two year,Yes,Mailed check,81.05,4747.65,No
8270-RKSAP,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.5,597.9,No
2640-LYMOV,Male,0,No,No,2,Yes,No,Month-to-month,Yes,Mailed check,19.65,38.8,No
2865-TCHJW,Female,1,No,No,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.2,346.2,Yes
0795-LAFGP,Male,0,Yes,Yes,71,Yes,DSL,Two year,No,Electronic check,90.4,6668.05,No
0619-OLYUR,Male,0,Yes,No,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),111.9,8071.05,No
5512-IDZEI,Male,0,Yes,Yes,46,Yes,No,One year,No,Electronic check,24.9,1174.8,No
0215-BQKGS,Male,0,No,No,30,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,No
8208-EUMTE,Male,0,No,No,16,No,DSL,Two year,No,Mailed check,54.85,916.15,No
5172-MIGPM,Male,0,No,No,4,Yes,DSL,Month-to-month,No,Mailed check,65.55,237.2,No
5173-ZXXXL,Male,0,No,No,2,Yes,No,One year,No,Mailed check,19.95,47.7,No
3419-SNJJD,Female,1,Yes,No,65,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,Yes
6543-CPZMK,Male,0,Yes,Yes,9,No,DSL,Month-to-month,Yes,Electronic check,29.95,248.95,Yes
4765-OXPPD,Female,0,Yes,Yes,9,Yes,DSL,Month-to-month,No,Mailed check,65,663.05,Yes
6689-VRRTK,Female,1,No,No,44,Yes,Fiber optic,One year,Yes,Credit card (automatic),109.8,4860.35,No
5240-CAOYT,Female,0,No,No,57,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85,No
4059-IIEBK,Female,0,No,No,7,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,No
0516-UXRMT,Female,0,No,No,62,Yes,Fiber optic,One year,Yes,Electronic check,92.05,5755.8,No
4851-BQDNX,Male,0,Yes,Yes,40,Yes,Fiber optic,One year,Yes,Electronic check,85.05,3355.65,No
5016-IBERQ,Male,0,Yes,No,23,Yes,Fiber optic,Month-to-month,No,Electronic check,84.25,1968.1,No
2469-DTSGX,Female,1,No,No,72,Yes,Fiber optic,Two year,No,Electronic check,111.65,7943.45,No
0195-IESCP,Male,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.25,855.3,Yes
3509-GWQGF,Male,1,No,No,24,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),70,1732.6,No
2024-BASKD,Female,0,No,No,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,74.6,74.6,Yes
4160-AMJTL,Female,1,No,No,8,Yes,No,Month-to-month,No,Electronic check,19.65,164.3,Yes
5183-SNMJQ,Male,0,No,No,10,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.1,865.1,No
4464-JCOLN,Male,0,Yes,Yes,2,Yes,No,One year,No,Mailed check,19.85,35.9,Yes
8095-WANWK,Female,0,No,No,10,Yes,DSL,Month-to-month,No,Mailed check,45.25,428.7,No
3088-FVYWK,Male,0,Yes,Yes,53,Yes,No,Two year,No,Credit card (automatic),25.55,1336.1,No
0823-HSCDJ,Male,1,No,No,52,No,DSL,Month-to-month,Yes,Electronic check,49.15,2550.9,Yes
2324-AALNO,Female,0,No,No,48,Yes,No,One year,No,Bank transfer (automatic),24.55,1203.95,No
7501-IWUNG,Female,0,Yes,Yes,61,Yes,DSL,Two year,Yes,Bank transfer (automatic),73.8,4616.05,No
4957-TREIR,Male,0,No,No,3,Yes,DSL,Month-to-month,Yes,Credit card (automatic),64.4,195.65,No
8040-MNRTF,Female,0,No,No,1,Yes,Fiber optic,Month-to-month,No,Mailed check,71.1,71.1,No
0067-DKWBL,Male,1,No,No,2,Yes,DSL,Month-to-month,Yes,Electronic check,49.25,91.1,Yes
2682-KEVRP,Female,1,No,No,22,Yes,No,One year,Yes,Mailed check,20.05,417,No
9450-TRJUU,Male,0,No,No,35,Yes,Fiber optic,Month-to-month,No,Electronic check,83.15,2848.45,No
1456-TWCGB,Male,0,No,No,4,Yes,DSL,Month-to-month,No,Mailed check,49.25,208.45,No
8329-UTMVM,Male,1,No,No,27,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),104.65,2964,No
9661-JALZV,Female,0,No,No,58,Yes,No,Two year,Yes,Credit card (automatic),24.7,1519,No
4312-KFRXN,Male,0,Yes,No,72,Yes,No,Two year,No,Mailed check,25.4,1710.9,No
9944-AEXBM,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,No
6786-OBWQR,Female,0,Yes,Yes,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.85,356.1,No
7564-GHCVB,Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,No,Bank transfer (automatic),79.05,5730.7,No
1173-NOEYG,Female,0,Yes,No,27,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),90.15,2423.4,No
6647-ZEDXT,Female,0,No,No,30,Yes,Fiber optic,One year,No,Credit card (automatic),110.45,3327.05,No
6923-JHPMP,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.45,137.1,No
1635-FJFCC,Female,0,No,No,5,Yes,DSL,Month-to-month,Yes,Credit card (automatic),44.05,202.15,No
2499-AJYUA,Female,1,Yes,No,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),110.8,7882.25,No
6919-ELBGL,Male,1,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),114.95,8196.4,No
3966-HRMZA,Female,1,No,No,3,Yes,Fiber optic,Month-to-month,No,Mailed check,75.05,202.9,No
6425-JWTDV,Male,0,Yes,No,48,Yes,No,Two year,No,Mailed check,19.25,855.1,No
8224-IVVPA,Female,0,No,No,27,Yes,DSL,Month-to-month,Yes,Mailed check,56.7,1652.95,No
1410-RSCMR,Male,0,Yes,Yes,7,Yes,DSL,Month-to-month,Yes,Credit card (automatic),71.35,515.75,No
4013-GUXND,Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.8,20.8,No
1894-IGFSG,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,No,Electronic check,89.25,1907.85,Yes
7969-FFOWG,Male,0,Yes,Yes,65,Yes,No,Two year,No,Mailed check,19.9,1292.6,No
4718-DHSMV,Female,0,No,No,11,No,DSL,Month-to-month,Yes,Mailed check,35.8,363.15,No
5175-WLYXL,Male,0,No,No,22,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.85,1600.25,No
8728-SKJLR,Male,0,No,No,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.25,3089.1,No
5842-POCOP,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.9,454.15,Yes
8823-RLPWL,Female,0,Yes,No,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),110.65,8065.65,No
0285-INHLN,Male,0,Yes,Yes,27,Yes,DSL,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,No
4678-DVQEO,Female,0,No,No,1,Yes,DSL,Month-to-month,Yes,Electronic check,52.2,52.2,Yes
4992-LTJNE,Male,0,Yes,Yes,72,Yes,DSL,Two year,No,Bank transfer (automatic),55.3,3983.6,No
7131-ZQZNK,Female,0,Yes,Yes,60,No,DSL,Two year,No,Credit card (automatic),59.85,3590.2,No
5726-CVNYA,Female,0,Yes,Yes,8,Yes,No,Two year,Yes,Mailed check,19.85,146.6,No
2040-OBMLJ,Male,0,No,No,31,Yes,Fiber optic,One year,No,Credit card (automatic),81.7,2548.65,No
3807-XHCJH,Female,0,Yes,Yes,1,Yes,No,Month-to-month,No,Electronic check,20,20,No
8859-AXJZP,Male,0,Yes,Yes,39,Yes,No,Two year,Yes,Mailed check,23.8,903.8,No
3174-AKMAS,Female,0,Yes,No,46,Yes,DSL,Two year,Yes,Credit card (automatic),64.2,3009.5,No
4289-DTDKW,Male,0,Yes,No,40,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes
4220-TINQT,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.35,6751.35,No
4335-BSMJS,Female,0,No,No,62,Yes,No,Two year,Yes,Credit card (automatic),25.8,1563.95,No
